ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S0718-560X2020000100038-chl","Effect of size grading on the growth of pirarucu Arapaima gigas reared in earthen ponds","Lima, Adriana Ferreira","Latin american journal of aquatic research; 48(1); 38-46","Latin american journal of aquatic research","Inglês","2020","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2020000100038&lang=pt" 
"S0254-92392020000100245-per","El castellano amazónico en la novela Paiche. Análisis dialectológico","Pau, Stefano","Lexis; 44(1); 245-267","Lexis","Espanhol","2020","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S0254-92392020000100245&lang=pt" 
"S1517-70762020000100345-scl","Síntese e caracterização de hidroxiapatita natural extraída de escamas de pirarucu (Arapaima gigas)","Amorim, Mateus Oliveira de, Meazza, Karyane, Oliveira, Ana Alice, Sales Júnior, José Carlos Calado, Ruiz, Yurimiler Leyet, Andrade, Jean Carlos Silva","Matéria (Rio de Janeiro); 25(1); -","Matéria (Rio de Janeiro)","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762020000100345&lang=pt" 
"S1679-62252020000400201-scl","Comparative cytogenetic survey of the giant bonytongue Arapaima fish (Osteoglossiformes: Arapaimidae), across different Amazonian and Tocantins/Araguaia River basins","Oliveira, Ezequiel A. de, Sassi, Francisco de M. C., Perez, Manolo F., Bertollo, Luiz A. C., Ráb, Petr, Ezaz, Tariq, Hatanaka, Terumi, Viana, Patrik F., Feldberg, Eliana, Oliveira, Edivaldo H. C. de, Cioffi, Marcelo de B.","Neotropical Ichthyology; 18(4); -","Neotropical Ichthyology","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252020000400201&lang=pt" 
"S2179-975X2020000100304-scl","Management of Pirarucu (Arapaima gigas, Teleostei, Osteoglossidae) in Sustainable Use Units as a proposal for the restoration of aquatic ecosystems","Santana, Eucilene Alves, Oliveira, Edson Fontes de, Balbino, Nataluzo da Silva, Gurgel, Helen","Acta Limnologica Brasiliensia; 32(); -","Acta Limnologica Brasiliensia","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2020000100304&lang=pt" 
"S0001-37652020000201024-scl","Essential oil from Ocimum basilicum improves growth performance and does not alter biochemical variables related to stress in pirarucu (Arapaima gigas)","CHUNG, SAMANTHA, LEMOS, CARLOS H. DA P., TEIXEIRA, DANIEL V., FORTES-SILVA, RODRIGO, COPATTI, CARLOS E.","Anais da Academia Brasileira de Ciências; 92(); -","Anais da Academia Brasileira de Ciências","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652020000201024&lang=pt" 
"S1609-91172019000300016-per","Caracterización de la secuencia del gen de la proteín transportadora de péptidos (PepT1) en alevines de paiche Arapaima gigas","Toledo, Odalis E., Castañeda, Arnaldo E., Feria, Manuel A., Masías, Pedro, Cueva, Mario, Motte, Emmerik","Revista de Investigaciones Veterinarias del Perú; 30(3); 1129-1142","Revista de Investigaciones Veterinarias del Perú","Espanhol","2019","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172019000300016&lang=pt" 
"S0718-560X2019000200310-chl","Apparent digestibility coefficients of selected protein ingredients for pirarucu Arapaima gigas (Teleostei: Osteoglossidae)","Oeda-Rodrigues, Ana Paula, Vitti-Moro, Giovanni, Santos, Viviane Rodrigues Verdolin dos, Lima-de-Freitas, Luiz Eduardo, Machado-Fracalossi, Débora","Latin american journal of aquatic research; 47(2); 310-317","Latin american journal of aquatic research","Inglês","2019","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2019000200310&lang=pt" 
"S1609-91172019000200040-per","Caracterización molecular ómica de una cepa de Bacillus amyloliquefaciens aislada de la microbiota del paiche Arapaima gigas con actividad antagonista contra bacterias patógenas de peces","Feria, Manuel, Castañeda, Arnaldo, Toledo, Odalis, Castillo, Deysy, Cueva, Mario, Cedeño, Virna","Revista de Investigaciones Veterinarias del Perú; 30(2); 908-922","Revista de Investigaciones Veterinarias del Perú","Espanhol","2019","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172019000200040&lang=pt" 
"S0044-59672019000100011-scl","Feeding frequency affects feed intake and growth in juvenile pirarucu (Arapaima gigas)","RODRIGUES, Ana Paula Oeda, LIMA, Adriana Ferreira, ANDRADE, Caniggia Lacerda, MEDEIROS, Rafaella Machado dos Santos de","Acta Amazonica; 49(1); 11-16","Acta Amazonica","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672019000100011&lang=pt" 
"S1981-67232019000100408-scl","Fatty acid composition and influence of temperature on the lipid stability of Arapaima gigas meat","Coutinho, Nathália Miranda, Canto, Anna Carolina Vilhena da Cruz Silva, Mársico, Eliane Teixeira, Silva, Flávio Alves da, Keller, Luiz Antônio Moura, Conte-Junior, Carlos Adam, Monteiro, Maria Lúcia Guerra","Brazilian Journal of Food Technology; 22(); -","Brazilian Journal of Food Technology","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232019000100408&lang=pt" 
"S0100-736X2018000601015-scl","Histopathological evaluation of formalin toxicity in Arapaima gigas (Arapaimidae), the giant fish from Amazon","Andrade-Porto, Sanny M., Ramos, Cleverson A., Roque, Rosemary, Affonso, Elizabeth G., Barcellos, José F.M., Queiroz, Marieta N., Araújo, Cleusa S.O., Tavares-Dias, Marcos","Pesquisa Veterinária Brasileira; 38(6); 1015-1025","Pesquisa Veterinária Brasileira","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2018000601015&lang=pt" 
